stock,industry_code,industry_name,implement_date
603026,C26,化学原料及化学制品制造业,2015/5/29
603027,C14,食品制造业,2016/3/7
603028,C33,金属制品业,2016/3/31
603029,C35,专用设备制造业,2016/4/27
603030,E50,建筑装饰和其他建筑业,2015/3/20
603031,F52,零售业,2016/8/22
603032,G54,道路运输业,2017/1/5
603032,C35,专用设备制造业,2021/7/19
603033,C29,橡胶和塑料制品业,2016/12/7
603035,C36,汽车制造业,2017/1/5
603036,C35,专用设备制造业,2016/12/9
603037,C36,汽车制造业,2017/1/20
603038,C41,其他制造业,2017/1/16
603039,I65,软件和信息技术服务业,2017/1/13
603040,C33,金属制品业,2017/2/9
603041,C26,化学原料及化学制品制造业,2017/3/30
603042,C39,计算机、通信和其他电子设备制造业,2017/6/2
603043,C14,食品制造业,2017/6/27
603045,C38,电气机械及器材制造业,2018/5/17
603048,C36,汽车制造业,2021/11/16
603050,C38,电气机械及器材制造业,2017/4/14
603051,C29,橡胶和塑料制品业,2022/3/25
603052,C39,计算机、通信和其他电子设备制造业,2022/10/11
603053,D45,燃气生产和供应业,2019/12/17
603055,C17,纺织业,2017/9/21
603056,G60,邮政业,2018/1/16
603057,C13,农副食品加工业,2022/9/26
603058,C23,印刷和记录媒介复制业,2016/12/23
603059,C41,其他制造业,2018/3/2
603060,M74,专业技术服务业,2016/11/9
603063,C38,电气机械及器材制造业,2017/7/28
603066,G59,仓储业,2015/6/11
603067,C26,化学原料及化学制品制造业,2016/9/13
603068,C39,计算机、通信和其他电子设备制造业,2019/4/15
603069,G54,道路运输业,2016/7/12
603070,C38,电气机械及器材制造业,2022/3/10
603071,F51,批发业,2021/12/16
