stock,industry_code,industry_name,implement_date
603883,F52,零售业,2015/4/23
603885,G56,航空运输业,2015/5/27
603886,C14,食品制造业,2016/12/28
603887,E48,土木工程建筑业,2016/10/10
603887,I65,软件和信息技术服务业,2020/7/14
603888,I64,互联网和相关服务,2016/10/28
603889,C17,纺织业,2014/12/31
603890,C39,计算机、通信和其他电子设备制造业,2017/12/12
603893,C39,计算机、通信和其他电子设备制造业,2020/2/7
603895,C35,专用设备制造业,2018/1/22
603896,C27,医药制造业,2017/5/10
603897,C38,电气机械及器材制造业,2018/4/10
603898,C21,家具制造业,2015/2/17
603899,C24,文教、工美、体育和娱乐用品制造业,2015/1/27
603900,F52,零售业,2016/11/23
603901,C35,专用设备制造业,2015/5/29
603903,N77,生态保护和环境治理业,2017/3/14
603906,C26,化学原料及化学制品制造业,2017/4/10
603908,C18,纺织服装、服饰业,2017/3/7
603909,M74,专业技术服务业,2016/6/28
603912,C35,专用设备制造业,2017/11/1
603915,C34,通用设备制造业,2019/6/14
603916,C26,化学原料及化学制品制造业,2017/11/10
603917,C35,专用设备制造业,2017/12/4
603918,I65,软件和信息技术服务业,2015/5/28
603919,C15,酒、饮料和精制茶制造业,2016/3/10
603920,C39,计算机、通信和其他电子设备制造业,2017/4/26
603922,C36,汽车制造业,2017/10/23
603926,C36,汽车制造业,2017/5/10
603927,I65,软件和信息技术服务业,2019/9/9
603928,C26,化学原料及化学制品制造业,2016/12/12
603929,E49,建筑安装业,2016/12/30
603931,C26,化学原料及化学制品制造业,2020/8/19
603933,C39,计算机、通信和其他电子设备制造业,2017/7/6
603936,C39,计算机、通信和其他电子设备制造业,2015/12/9
603937,C33,金属制品业,2017/11/2
603938,C26,化学原料及化学制品制造业,2017/6/28
603939,F52,零售业,2015/2/17
603948,C26,化学原料及化学制品制造业,2020/3/2
603949,C36,汽车制造业,2020/3/10
603950,C36,汽车制造业,2020/5/26
603955,E48,土木工程建筑业,2017/3/10
603956,C35,专用设备制造业,2019/2/22
603958,C19,皮革、毛皮、羽毛及其制品和制鞋业,2016/6/29
603959,M74,专业技术服务业,2016/5/17
603959,E48,土木工程建筑业,2020/7/14
603960,C35,专用设备制造业,2017/3/14
603963,C27,医药制造业,2017/9/22
603966,C34,通用设备制造业,2017/1/25
603967,G58,装卸搬运和运输代理业,2019/4/29
603968,C26,化学原料及化学制品制造业,2015/5/18
603969,C33,金属制品业,2015/2/27
603970,F51,批发业,2017/11/16
603976,C27,医药制造业,2017/8/22
603977,C26,化学原料及化学制品制造业,2016/11/11
603978,C32,有色金属冶炼及压延加工业,2017/8/7
603979,B11,开采辅助活动,2015/6/30
603980,C26,化学原料及化学制品制造业,2017/6/15
603982,C36,汽车制造业,2019/5/22
603983,C26,化学原料及化学制品制造业,2019/7/25
603985,C33,金属制品业,2017/5/5
603986,C39,计算机、通信和其他电子设备制造业,2016/8/18
603987,C35,专用设备制造业,2016/11/21
603988,C38,电气机械及器材制造业,2014/11/4
603989,C39,计算机、通信和其他电子设备制造业,2015/5/15
603990,I65,软件和信息技术服务业,2016/12/8
603991,C29,橡胶和塑料制品业,2017/3/8
603992,C29,橡胶和塑料制品业,2019/8/26
603993,B09,有色金属矿采选业,2012/10/9
603995,C31,黑色金属冶炼及压延加工业,2019/12/24
603996,C39,计算机、通信和其他电子设备制造业,2015/12/22
603997,C36,汽车制造业,2015/3/2
603998,C27,医药制造业,2014/12/5
603999,R85,新闻和出版业,2015/12/10
605001,C37,铁路、船舶、航空航天和其它运输设备制造业,2020/5/22
605003,C17,纺织业,2020/9/8
605005,C36,汽车制造业,2021/1/19
605006,C30,非金属矿物制品业,2020/9/3
605007,C22,造纸及纸制品业,2020/11/10
605008,C26,化学原料及化学制品制造业,2020/8/21
605009,C22,造纸及纸制品业,2020/9/11
605011,D44,电力、热力生产和供应业,2021/6/30
605016,C14,食品制造业,2021/4/21
605018,C36,汽车制造业,2020/9/29
605020,C26,化学原料及化学制品制造业,2021/7/9
605028,D44,电力、热力生产和供应业,2021/7/12
605033,C26,化学原料及化学制品制造业,2021/9/16
605050,G58,装卸搬运和运输代理业,2020/9/24
605055,C17,纺织业,2021/1/29
605056,F51,批发业,2021/7/20
605058,C39,计算机、通信和其他电子设备制造业,2020/10/21
605060,C34,通用设备制造业,2021/3/1
605066,C38,电气机械及器材制造业,2020/8/7
605068,C19,皮革、毛皮、羽毛及其制品和制鞋业,2020/11/23
605069,N77,生态保护和环境治理业,2021/8/16
605077,C13,农副食品加工业,2021/2/9
605080,C17,纺织业,2021/5/6
605081,N77,生态保护和环境治理业,2021/2/9
605086,B10,非金属矿采选业,2021/4/16
605088,C36,汽车制造业,2020/8/17
605089,C13,农副食品加工业,2021/4/27
605090,D45,燃气生产和供应业,2021/5/25
605098,P82,教育,2021/4/21
605099,C24,文教、工美、体育和娱乐用品制造业,2020/9/30
605100,C34,通用设备制造业,2020/8/11
605108,H62,餐饮业,2020/7/16
605111,C39,计算机、通信和其他电子设备制造业,2020/9/28
605116,C27,医药制造业,2020/9/21
605117,C38,电气机械及器材制造业,2021/4/20
605118,C39,计算机、通信和其他电子设备制造业,2020/7/30
605122,C30,非金属矿物制品业,2021/3/10
605123,C33,金属制品业,2020/8/25
605128,C36,汽车制造业,2020/9/15
605133,C33,金属制品业,2021/2/24
605133,C36,汽车制造业,2021/4/14
605136,F52,零售业,2020/9/29
605138,C18,纺织服装、服饰业,2021/10/27
605151,C36,汽车制造业,2020/12/15
605155,C41,其他制造业,2020/12/31
605155,C17,纺织业,2021/4/14
605158,C33,金属制品业,2020/8/5
605162,D44,电力、热力生产和供应业,2021/7/7
605166,C26,化学原料及化学制品制造业,2020/6/18
605167,C35,专用设备制造业,2021/7/26
605167,M74,专业技术服务业,2021/11/10
605168,L72,商务服务业,2020/5/28
605169,D45,燃气生产和供应业,2020/10/30
605177,C27,医药制造业,2020/11/25
605178,E50,建筑装饰和其他建筑业,2020/8/21
605179,C14,食品制造业,2020/12/28
605180,C17,纺织业,2021/4/30
605183,C26,化学原料及化学制品制造业,2020/12/7
605186,C35,专用设备制造业,2020/12/22
605188,F52,零售业,2020/7/28
605189,C17,纺织业,2021/5/28
605196,C38,电气机械及器材制造业,2021/5/11
605198,C15,酒、饮料和精制茶制造业,2020/9/18
605199,C27,医药制造业,2020/7/10
605208,C32,有色金属冶炼及压延加工业,2021/3/8
605218,C39,计算机、通信和其他电子设备制造业,2020/9/28
605222,C38,电气机械及器材制造业,2020/7/31
605228,C36,汽车制造业,2021/1/20
605255,C29,橡胶和塑料制品业,2020/8/25
605258,C39,计算机、通信和其他电子设备制造业,2020/12/3
605259,C34,通用设备制造业,2021/6/15
605266,F52,零售业,2020/12/1
605268,C33,金属制品业,2021/2/24
605277,C38,电气机械及器材制造业,2021/1/6
605286,C34,通用设备制造业,2021/3/22
605287,E50,建筑装饰和其他建筑业,2021/7/6
605288,C38,电气机械及器材制造业,2020/6/1
605289,E50,建筑装饰和其他建筑业,2021/4/26
605296,A03,畜牧业,2021/5/28
605298,C37,铁路、船舶、航空航天和其它运输设备制造业,2021/3/1
605299,C24,文教、工美、体育和娱乐用品制造业,2020/12/15
605300,C14,食品制造业,2021/4/30
605303,A02,林业,2021/3/1
605303,E48,土木工程建筑业,2021/4/14
605305,C35,专用设备制造业,2021/5/6
605318,C41,其他制造业,2020/8/3
605319,C36,汽车制造业,2021/6/7
605333,C36,汽车制造业,2020/8/18
605336,C38,电气机械及器材制造业,2020/10/19
605337,C15,酒、饮料和精制茶制造业,2021/2/8
605338,C14,食品制造业,2020/10/12
605339,C14,食品制造业,2021/5/18
605358,C39,计算机、通信和其他电子设备制造业,2020/9/11
605365,C38,电气机械及器材制造业,2021/7/20
605366,C26,化学原料及化学制品制造业,2020/8/12
605368,D45,燃气生产和供应业,2021/1/29
605369,C35,专用设备制造业,2020/9/16
605376,C33,金属制品业,2020/12/8
605377,C22,造纸及纸制品业,2020/12/28
605378,C38,电气机械及器材制造业,2021/4/12
605388,C15,酒、饮料和精制茶制造业,2020/8/18
605389,C34,通用设备制造业,2021/3/22
605398,I65,软件和信息技术服务业,2021/1/21
605399,C26,化学原料及化学制品制造业,2020/8/4
605488,C29,橡胶和塑料制品业,2021/5/13
605499,C15,酒、饮料和精制茶制造业,2021/5/27
605500,C22,造纸及纸制品业,2020/12/22
605507,C27,医药制造业,2021/8/2
605555,C38,电气机械及器材制造业,2021/10/21
605566,C26,化学原料及化学制品制造业,2021/10/25
605567,C13,农副食品加工业,2021/10/13
605577,R85,新闻和出版业,2021/8/24
605580,D44,电力、热力生产和供应业,2021/8/19
605588,C39,计算机、通信和其他电子设备制造业,2021/8/12
605589,C26,化学原料及化学制品制造业,2021/8/10
605598,E48,土木工程建筑业,2021/9/17
605599,F52,零售业,2021/9/9
688001,C35,专用设备制造业,2019/7/22
688002,C39,计算机、通信和其他电子设备制造业,2019/7/22
688003,C35,专用设备制造业,2019/7/22
688004,I65,软件和信息技术服务业,2020/6/12
688005,C39,计算机、通信和其他电子设备制造业,2019/7/22
688005,C38,电气机械及器材制造业,2021/11/10
688006,C35,专用设备制造业,2019/7/22
688007,C39,计算机、通信和其他电子设备制造业,2019/7/22
688008,C39,计算机、通信和其他电子设备制造业,2019/7/22
688009,C37,铁路、船舶、航空航天和其它运输设备制造业,2019/7/22
688010,C40,仪器仪表制造业,2019/7/22
688011,C39,计算机、通信和其他电子设备制造业,2019/7/22
688012,C35,专用设备制造业,2019/7/22
688013,C35,专用设备制造业,2020/9/28
688015,C37,铁路、船舶、航空航天和其它运输设备制造业,2019/7/22
688016,C35,专用设备制造业,2019/7/22
688017,C34,通用设备制造业,2020/8/28
688018,C39,计算机、通信和其他电子设备制造业,2019/7/22
688018,I65,软件和信息技术服务业,2019/10/28
688019,C39,计算机、通信和其他电子设备制造业,2019/7/22
688020,C39,计算机、通信和其他电子设备制造业,2019/7/22
688021,C35,专用设备制造业,2019/11/6
688022,C35,专用设备制造业,2019/7/22
688023,I65,软件和信息技术服务业,2019/11/5
688025,C39,计算机、通信和其他电子设备制造业,2019/10/31
688026,C29,橡胶和塑料制品业,2020/1/22
688027,C39,计算机、通信和其他电子设备制造业,2020/7/9
688028,C35,专用设备制造业,2019/7/22
688029,C35,专用设备制造业,2019/7/22
688030,I65,软件和信息技术服务业,2019/9/30
688031,I65,软件和信息技术服务业,2022/10/18
688032,C38,电气机械及器材制造业,2021/12/20
688033,C37,铁路、船舶、航空航天和其它运输设备制造业,2019/7/22
688035,C39,计算机、通信和其他电子设备制造业,2022/9/19
688036,C39,计算机、通信和其他电子设备制造业,2019/9/30
688037,C35,专用设备制造业,2019/12/16
688038,I65,软件和信息技术服务业,2021/7/13
688039,I65,软件和信息技术服务业,2019/12/11
688041,C39,计算机、通信和其他电子设备制造业,2022/8/12
688045,I65,软件和信息技术服务业,2022/5/26
688046,M73,研究和试验发展,2022/4/25
688047,C39,计算机、通信和其他电子设备制造业,2022/6/24
688048,C39,计算机、通信和其他电子设备制造业,2022/4/1
688049,C39,计算机、通信和其他电子设备制造业,2021/11/29
688050,C35,专用设备制造业,2020/7/29
688051,I65,软件和信息技术服务业,2020/3/20
688052,I65,软件和信息技术服务业,2022/4/22
688053,M74,专业技术服务业,2022/7/8
688055,C39,计算机、通信和其他电子设备制造业,2020/8/17
688056,C40,仪器仪表制造业,2020/9/2
688057,N77,生态保护和环境治理业,2020/11/11
688058,I65,软件和信息技术服务业,2019/11/1
688059,C33,金属制品业,2021/2/8
688060,I65,软件和信息技术服务业,2020/7/10
688061,C39,计算机、通信和其他电子设备制造业,2022/10/18
688062,C27,医药制造业,2022/1/18
688063,C38,电气机械及器材制造业,2020/12/30
688065,C28,化学纤维制造业,2020/8/12
688066,I65,软件和信息技术服务业,2019/7/22
688067,C35,专用设备制造业,2021/6/16
688068,C27,医药制造业,2019/9/30
688069,N77,生态保护和环境治理业,2020/7/22
688070,C37,铁路、船舶、航空航天和其它运输设备制造业,2021/2/10
688071,C35,专用设备制造业,2021/7/29
688072,C35,专用设备制造业,2022/4/20
688073,M73,研究和试验发展,2022/10/11
688075,C27,医药制造业,2021/11/18
688076,C27,医药制造业,2021/5/20
688077,C39,计算机、通信和其他电子设备制造业,2020/7/22
688077,C30,非金属矿物制品业,2020/11/5
688078,I65,软件和信息技术服务业,2019/12/30
